session_id,customer_id,activity_type,product_id,timestamp
003bdbec-7736-4ed3-8c12-2e40eaad0a51,9d50783f-e722-4a26-b96f-b2080147b0fa,Page View,P0272,2024-10-16
003d22e8-5b58-44a4-9b05-63f07137154a,39d82419-f3ca-48c8-a5bf-d7d22854a12b,Page View,Unknown_Product,2024-08-15
004ca329-af02-4937-a6bf-72bed0ff8480,f916add0-7df0-48d5-9213-a32078447520,Add to Cart,P0449,2025-04-14
004f3b91-3541-4511-b4c4-8caf9e72350f,6cc8a6ea-0f11-409c-808b-b13004814db0,Page View,Unknown_Product,2024-10-27
004fbb3e-221a-4093-9ce7-9a58c0b1f66c,2540f8d1-4246-44a5-85d3-f221e1505a5f,Page View,P0070,2025-04-26
005a1ed0-8b63-4980-ae56-30494abfb7ed,b8222965-668f-4429-ad24-bc0a482d6673,Product Click,Unknown_Product,2024-06-22
005e27ae-e74a-4a18-95fe-aa17b3aa2a58,0248d251-6d8b-4b8c-be6d-086aa69bc4b0,Search,P0277,2024-12-17
005e4de3-54a2-4abe-a225-8212195292a8,5b951491-349d-4e12-ac0e-fca7b8af23e6,Search,P0475,2025-05-27
005eb0af-2c9a-4cb3-8fc8-8cd3a60c96d1,49cd0855-e4c6-43e9-93f8-ad14152815d4,Search,P0155,2024-02-26
005eda94-f454-4640-aa19-b0caa1606abe,7374d3a7-4ce7-4326-be7a-1ffdd26e37d0,Search,Unknown_Product,2024-04-03
0062dce8-95ec-4ab8-8814-ad0cb1590ed8,c9a10bad-7bb4-4af5-a4ba-1f4a63290ab9,Product Click,Unknown_Product,2025-05-23
006316bb-17b6-4a44-97b7-6cec6a29d67d,d1473e0f-a3f4-4dc3-bedc-cf6f767efa76,Page View,Unknown_Product,2024-09-19
00653607-5d8f-4628-8564-f993a3f3567d,5dc45e09-ca55-4ed3-a51d-6ed9c338bd61,Search,Unknown_Product,2024-01-30
006845cf-3a06-4238-bc00-4c37ff7cf843,e39e7c0d-0bd2-40cf-8d01-ff9d16a3839e,Product Click,P0408,2023-11-04
006a12ee-4c8d-40f8-9c70-8242e91339ec,849f740b-267e-4531-a7cb-44dbb470a86d,Search,P0268,2025-04-24
006a5c67-3076-4955-b980-694812c6fca0,6ce8c654-29cb-4c3a-bbdc-a26efb34447e,Page View,P0368,2024-09-18
006ae6aa-7f38-45d2-a61e-65c93c6f6321,2cf487e2-4dc0-4c37-a938-d2d2f1da4f42,Search,P0237,2025-06-01
006d2aa5-730c-419d-8179-cc11d6ba8e19,9a6880a6-73d1-4d1e-86c9-6b27d3291599,Search,P0242,2024-10-13
006d4ad2-40c4-40f9-8491-2a7f9a79ffc6,4788e081-c3fc-4e6b-b43e-d99fbb4b118c,Cart View,P0386,2024-06-12
00729272-9e09-48a2-8140-5aaca20f0e28,57c85fcc-9dd6-4fef-9218-5838c3da7e14,Remove from Cart,P0061,2025-01-21
0073abfd-489d-4467-998a-6895a1280ea0,1733c788-9c10-4a4d-886d-e74cacc33ac1,Page View,Unknown_Product,2024-02-26
0074c529-20b7-4a67-b55b-c41182c7ea8d,50f3316e-18db-42fc-b99d-a86c857b4fe9,Page View,Unknown_Product,2025-03-16
0076cb94-e36f-425c-8a4e-558b23781f8d,1490eedd-975e-476d-af3c-0f0a7d98a71a,Product Click,P0178,2024-05-22
00772972-a170-487d-87d8-db1d77fc6196,7a90d702-fff2-47af-bb82-445b37002b8f,Search,P0076,2024-11-24
0078e238-674d-490c-8f5b-5b79d512757b,d55ccf29-da4f-4e21-a470-1ad8b8f35654,Search,P0282,2025-09-09
007a2534-7752-444f-aafe-58eafff5e675,f85ee893-e1da-467b-8979-f74d6ff4d32d,Page View,P0350,2024-02-16
007c3951-21bd-4c7c-b8f8-1de242c41cf3,f265113c-18df-49cc-beb8-e17d02926a99,Product Click,P0401,2025-05-01
007cac83-3600-4428-a4bd-9ebc7e32866f,0417f777-a757-41cf-8cc3-3a164391caed,Remove from Cart,P0314,2025-04-03
007cfb91-d9a1-4851-8e13-05c7fdefbd3f,842e4fb3-e691-46b8-a9d7-2bb60049c84c,Product Click,P0324,2025-02-16
007d1077-e673-4805-97ab-11a9840e2f44,ba1a4031-0794-4b54-8c29-a722906c458f,Product Click,P0184,2024-01-27
00813dbc-8e06-448e-8844-78591782e583,68e77d75-8d22-45b3-8427-34393ff64553,Page View,P0296,2024-12-14
00818c08-fcdf-46a1-a9c1-2763d28638c6,7acf6202-e533-490f-b22c-9ffae08633ce,Product Click,Unknown_Product,2024-02-09
0083fa77-be53-412a-9968-90c1b94fc34b,bad866c2-b8f3-45f7-b886-74161fc45a39,Add to Cart,P0138,2025-09-06
0084b3ac-f622-40bd-809d-9280b610b385,6161af96-fbc3-47ca-b6ab-502dea2134c8,Add to Cart,P0220,2025-07-26
008baf0f-4399-436c-87df-9a44d83d45a1,17678cee-dac2-4742-9171-12d4bb977c89,Page View,P0446,2024-04-25
008beeec-a41c-4a4a-a4bf-447a564afd4f,ddf722b3-5300-4781-9393-134c2fd8dc3e,Search,P0098,2024-12-15
008e5bbc-299d-42d1-b9cf-771061c9b302,700ce9bc-b430-4e6f-b0d8-e58321583648,Add to Cart,Unknown_Product,2025-01-30
008f98be-e4e5-4ca6-bf11-7e3683641711,5a35b3be-671c-4da6-bce2-dc6a7943f44a,Remove from Cart,P0031,2025-04-26
0091bbbc-035c-4bcd-a556-20f2507d3d0c,642a565b-2e1f-405e-8b77-ee17554c786c,Page View,P0092,2024-09-13
0091f7eb-65e8-405e-97fa-4e40e55ebb6e,b74c9ef1-ed12-408d-86f1-327b5175c55e,Product Click,P0207,2024-12-23
009201af-c26f-4c28-ba3a-1994278cc5f5,819d3dc9-e067-4c89-9a14-5e30ff5cdfe0,Search,Unknown_Product,2023-12-06
00921bcd-0b44-4324-9733-2803a80042d4,63caa19e-77bf-49ab-bf29-ae7617529ad8,Cart View,Unknown_Product,2023-10-24
00943c4a-a70b-48ff-b3a0-cb8944490851,2cf487e2-4dc0-4c37-a938-d2d2f1da4f42,Cart View,Unknown_Product,2025-01-16
0096801d-e7be-4178-8720-e895d657ed97,fe869f98-388d-4155-b40f-fa5db56cb971,Search,P0440,2025-07-18
0096ac39-8cc9-4e41-a07f-e426b07ebd0f,27cfbc3e-3488-4990-b2c2-8db4a4e5bf52,Remove from Cart,P0394,2023-11-19
009ac820-43f6-4ab1-a828-9f934ea7a8e5,706dd8e8-417c-4d48-b3e8-e0cdc018b382,Page View,Unknown_Product,2025-08-11
00a07a94-4a61-4d16-bf8d-79026070c7dd,5cffa8e9-b41c-45ef-b60b-4e3e852948cb,Search,Unknown_Product,2024-04-11
00a310ba-a6d9-4e27-b999-adb477d97b3a,246e05cc-f409-43ac-a8d6-a423897a23b9,Search,P0219,2024-12-14
00a58362-bb02-40b6-8d47-4361232e451f,094a92c9-b243-4632-81eb-2c8353572c6e,Cart View,Unknown_Product,2025-04-20
00a586ae-1711-40bb-944f-19c2c8d46d85,096f00cd-e571-47f6-8fc6-0e4737f69924,Page View,Unknown_Product,2025-01-27
00a71a47-338c-4ee2-a027-a0c261633499,2f27e1ee-5f81-48db-870f-27859e23e1fc,Search,P0281,2023-12-30
00a88d32-efd2-464d-8187-21ba7f69d44f,d1653364-daf0-4e3f-a473-0af59bc0aaaa,Add to Cart,P0401,2023-12-30
00a89416-64c3-4be9-b078-579142ef2861,5bb8f354-7499-4ab3-b98c-f10bc4f14a86,Search,P0093,2023-09-14
00ad0947-8aae-405c-9057-f6de312ddd89,4641dede-f0cf-4649-88e1-966a1e6e7f87,Product Click,P0226,2024-05-14
00b4b2f7-67b4-4e58-8fd5-268789bd6c47,0923f8d1-9fcf-42e2-ae4e-2c66694c6abd,Remove from Cart,Unknown_Product,2024-02-23
00b73203-8d0c-48f1-b850-b79735d50112,6b8c3c5c-42d3-4350-965e-b1f64037f0b4,Remove from Cart,P0159,2025-01-19
00b782cf-e3c8-4016-9e83-97feaab80d3d,79d1f9a2-49e7-4c3a-8e6e-249f8ae8f40a,Page View,Unknown_Product,2023-12-27
00ba5aa3-bcb5-40d6-8080-4e4d613cb8c9,dd757382-3ace-4c14-801d-90f13e9f680c,Page View,Unknown_Product,2024-06-09
00bc04f1-d734-4281-8d80-b514e06784e1,158ea286-32cb-4ffc-bf08-2c06d3d6917e,Add to Cart,Unknown_Product,2024-08-07
00bc9472-a835-4f4e-9fa4-f295a4e9749a,c0889ada-b2fe-4e89-a8a7-ce04c1aab55f,Add to Cart,P0402,2023-12-26
00c16865-36e3-42c1-b8d2-22b8f2815d00,a67e8851-1d16-4702-9cd2-f8f64968f6e5,Page View,P0012,2023-11-23
00c24675-ffbc-419c-b1ab-a8d651b1a4de,0d7627b0-8b17-4744-870f-287be58f6a3c,Add to Cart,Unknown_Product,2025-02-21
00c5590c-5f7e-4ff5-a159-f84b499dbbe8,26833952-e8b8-4a41-b1ff-9748c16e74b0,Add to Cart,P0335,2024-04-15
00c56835-eb0b-462e-b759-f5e0e192c1c3,92f4e305-fc17-45eb-a47b-00d93a9fccab,Remove from Cart,P0096,2025-01-08
00c95315-3320-43e2-8146-aeac713c4374,3bfa304f-36d2-4608-929c-c58d30f0f7ac,Cart View,P0112,2024-05-26
00caacd3-c20c-42ac-8d84-9ad19ce79811,6e54c5db-3d69-414d-9e9c-a08d1241eb92,Product Click,P0061,2024-03-28
00d32172-57df-4580-a223-67ca83ad1467,6731b6ed-d905-43d7-b663-be823d60567c,Product Click,Unknown_Product,2025-05-18
00d35d51-f6f2-4021-b004-6fd51db2d16d,638dd939-156d-4a92-910c-558697d7530d,Search,Unknown_Product,2024-07-08
00d39278-9819-4c04-bdbc-2b5c9a02be43,483b1c0a-64f2-4f61-a4d1-7b75e55644b0,Search,P0393,2024-10-25
00d490fd-3461-473c-9afe-f93bd67cabd8,c7bddc0c-a399-489d-b231-0dd747bd30f8,Cart View,P0215,2024-06-15
00d86f75-74b7-47d0-a00d-9b971e97941f,9db09858-a64e-48f8-a8f9-b0a13ec5d730,Add to Cart,Unknown_Product,2024-10-24
00dae6a3-2e94-48a5-9c0e-53bc9f61767d,208d9d8a-6b28-46d7-90ef-05f68b65d6c4,Search,P0196,2025-06-30
00dc0ecd-f642-46f0-97fc-23eb5e743c73,b7a13438-9310-4b4e-bedf-56f88ef82386,Add to Cart,P0193,2024-05-30
00de65d2-3d1c-4cc7-b5ca-c1ccd8d53fef,95e43f74-dd60-477a-88bc-458bb26514d3,Page View,P0408,2024-06-25
00df7e26-a0e0-4dbb-b6aa-e38e86936851,d68ef418-eec5-4f6d-87ce-068fc6f55593,Product Click,P0121,2025-02-01
00dfa9c5-4a02-43b7-863d-b8e3c6c6b022,71c7c341-c0b6-4478-803c-67e55b2872d0,Page View,P0120,2023-12-05
00e7ec55-2277-4df8-81ba-d64478a33617,0abbe64a-6bef-450a-991a-4a1f6080c630,Add to Cart,P0256,2025-08-14
00ea1f85-ed74-47c7-aba4-c9bce476349d,612e7fba-09fb-43b5-8c9b-c10da75fc2db,Page View,P0361,2025-09-06
00ed31bb-ec1f-482d-8197-f3ad80876957,a8e611e7-5a0f-4bc2-9c2c-05b96cbbffd9,Product Click,Unknown_Product,2024-10-04
00ee4bdf-ec4b-47da-a0f2-beb04aaaecec,3295325a-1d31-46a6-a740-0d48eb85672a,Page View,P0362,2025-04-05
00eec2b9-d79a-4f04-88cf-04a3bd96b8b3,6543c002-f027-4395-8b4a-918d69278abe,Cart View,P0240,2025-04-25
00ef3135-c5cd-43cf-882a-29feb8b0f1ee,3028e04e-2516-4f3e-b91b-202cdb71028d,Product Click,Unknown_Product,2024-01-08
00f22ead-7b65-45e4-a9cb-708b37604f27,040a7d41-a7c8-408f-9094-a761bf284f4e,Product Click,P0323,2024-04-14
00f4ed47-5ea4-4231-a13d-82b961da8ab3,f41577ce-484e-4e02-b3cf-c274ed02dc55,Page View,P0357,2024-07-29
00f569c1-e661-48e6-9db2-9a3093e0976f,f47aaba1-c5c5-427b-9e71-d7a9a3d1b422,Page View,Unknown_Product,2023-12-23
00f8c240-e86c-4ed5-bf6f-493defdfbef1,6d61782e-e59a-46c8-9ee2-6bd6523cfd6d,Cart View,P0012,2025-07-28
00fc0e6e-2308-476b-ad6a-a6e55b98f136,6b1d8902-592a-4e32-b970-a526dff08f76,Search,P0337,2025-05-18
0101c1da-4024-4ea4-a903-cd2dd449e8d7,853bd24f-039f-4f1f-94ec-55fd948dc9bf,Add to Cart,P0344,2024-04-20
0104edb9-2f56-4539-8a9f-76dc85f0941f,6b273b13-57d2-4dc8-a77d-2c0d9d9d75ea,Cart View,P0384,2024-12-08
0109987f-269a-4ab6-abde-8568731fbdcf,b1d375da-7126-405e-8d0c-c99417727f9f,Page View,P0027,2025-08-28
010ac8d3-910c-44cb-b117-7d7cb2809f1a,e57591b8-337b-403e-ab7a-1083d6d5928e,Product Click,P0469,2024-05-30
010f7757-6ec6-4cca-a72c-0c98bb0444e7,fdb8c9b3-a366-48bc-b033-8ae5b60822e3,Cart View,Unknown_Product,2024-07-28
010fa693-c2e8-46f5-8e4c-273d5cafccda,98265f2c-5e62-4ce1-b676-224f8c217a2b,Add to Cart,P0093,2024-02-12
01166203-b5db-4d74-a54d-b3470be5538d,dd1b9902-1c49-496f-aee5-381603a85914,Add to Cart,P0053,2025-05-12
0117153b-4b11-4f3e-bd66-d5150eec4cdb,567bd5f0-aae0-459e-8a43-55aaccea2baa,Search,P0015,2024-01-01
01183d81-d2fe-46ce-907f-756201cd0cbb,1125967e-6a80-4315-a54c-a875af3937fa,Add to Cart,P0230,2025-08-24
011a3835-7985-4275-af20-d3b738daac4d,6b1cc573-01fd-4cd4-9373-6a99177f7b42,Remove from Cart,P0172,2025-04-26
011b8ee2-8bd2-48fa-b65c-50f655a962e0,11471926-bd23-4179-acdb-51f251476248,Remove from Cart,Unknown_Product,2024-09-04
011cc159-bc3a-4d41-a020-33a0ca010409,abbf6bbb-800e-4c31-89c0-ba60bb2feabc,Cart View,P0009,2024-05-17
011f9595-46bf-49e2-9437-6b7108fe9e38,2556895b-3620-44d4-954e-f946558b22fb,Search,P0492,2025-07-15
01210365-1347-4f11-a468-9474900e2f8d,17c77171-9116-4645-99e0-91c8430d5aeb,Page View,P0178,2023-12-18
0121c3f2-f7b4-447e-8cd0-1e0a0c34fb67,ede18be2-a33c-42bc-9f83-cd65aebafd14,Page View,Unknown_Product,2025-09-11
0121d794-975e-4eaf-bba9-834877e5fdc4,d70497e4-54b5-4678-a2a1-1af0815db991,Search,P0298,2025-05-27
01238b45-d131-4785-a311-b6049e50964f,112c8779-be5c-4d6c-b856-14d58c840267,Cart View,Unknown_Product,2024-05-15
0124489d-56d8-4c24-b038-db0af5d7ca59,8eaeff4e-55da-4b41-ba54-0d0194f6b48c,Cart View,P0115,2024-07-17
0126d4d1-b323-49f2-904e-c6411757f829,94f28dd7-6005-4f6c-8546-b33055bc6bcc,Remove from Cart,P0493,2024-07-16
01274861-a9f9-4a71-8dd7-1a15bddd1d1b,d5b0f63d-5d60-4d28-9f15-0f50521f669b,Add to Cart,P0029,2025-07-22
0128bec4-aa4a-4cca-812f-6151f9f9ee64,9ac7a35b-4c90-49e0-80cd-c8faddac2907,Remove from Cart,Unknown_Product,2024-04-10
01303374-6dc2-4a7a-8d90-75c19621ed40,77165a9b-0c38-4f12-a500-3be23b76df0e,Product Click,Unknown_Product,2024-04-02
0131da36-7c03-451d-821a-17c5849b4b68,f26ab49c-9c4b-41a4-9826-9df996769a7a,Search,P0327,2025-06-30
01368ca1-7fe3-473d-a909-841618289000,132113bc-20a2-4585-add1-cd78760592e0,Search,P0058,2024-06-02
013b05d6-23fa-4858-87f7-29d7a4a7cf1e,2ddaea85-425e-47a7-af47-e9e51d8c0b4d,Add to Cart,Unknown_Product,2024-06-26
0141e9cf-c138-4c45-907e-09ea66ccb8b2,7482d6aa-f4d0-4c68-8e46-ca89d8a39c96,Product Click,P0355,2025-07-08
0142812f-1466-4f86-b691-1771083bc8cf,9e3ebe06-b322-4605-898a-9be1d9306fed,Cart View,P0249,2024-10-19
0146b3ca-eabe-4907-b877-52a005a81114,32e3b456-1e86-4dcf-add3-07e82e3182a2,Product Click,P0141,2025-07-06
014a9cc9-51f9-4a48-a47d-16c4b2df199e,2a35b1c3-6436-439a-8c72-7452caf031f2,Cart View,P0279,2024-10-26
014b9053-aadb-48d2-9db7-b08b2eca2b28,c36f9f94-60c2-44e3-ac98-83d6c3adbb5f,Remove from Cart,P0151,2025-07-13
014e0bb1-41a7-4b04-8758-603ddae5ed61,ad630cf9-189b-4609-9f46-d394e852d64d,Search,P0166,2024-02-28
0150e484-d871-4bea-8627-b800455c2d4e,2392d35b-c490-4fb9-83a5-13e53a6760f2,Cart View,P0310,2025-07-16
01541304-0d39-4f74-a1f4-2983a49f98b1,7398bbb8-f643-4c3f-a025-08e1401f752f,Cart View,P0334,2024-08-13
015550f7-ced2-4223-94e5-a0d348d31a79,9e7f26a2-43c1-4a4f-94f5-8798300eaa59,Search,Unknown_Product,2024-09-30
0155b3e0-9a43-4f8c-a94d-a980695bcbec,4586698e-fc70-4843-b079-7bf8b56045b8,Cart View,P0352,2023-10-01
015993be-d1ec-4c73-9b5e-dbb50adfa9ba,89c95476-fc2c-44e8-9ade-b464a36293ea,Product Click,P0498,2024-07-18
015c27bf-91db-4be0-b0e2-1365cc167e4c,8168c46c-1320-429d-8bad-18f3eb934a11,Product Click,P0143,2024-01-24
015d5f6e-dea2-439b-893d-f375d9740fa9,a58839c4-0e72-4fa1-b57a-3f711f6be349,Search,Unknown_Product,2025-04-09
015f7220-2185-4aee-b687-35ee09d58ea5,b56dba90-68fb-48c7-a40e-8b02b5e5937b,Search,Unknown_Product,2024-05-09
0160eac0-9758-44ad-baa8-94b4f0a52bbd,31fc6774-1bb0-4f25-8a91-4e8ed207c971,Product Click,P0246,2024-02-15
016452a9-18fa-4caf-a7be-f41119e4b5e0,e8aa3169-5521-4bd5-a407-38225d3c3b70,Remove from Cart,P0243,2024-07-23
0168cc91-4372-4c07-9ab8-d3982189c49a,100edf69-1821-4cce-a4e1-f6bdc0aef036,Remove from Cart,Unknown_Product,2024-05-03
0168df30-e3f1-4f68-99e2-90b731e2ba07,c1b7524c-57e2-40a8-ae8e-9689d2b5facd,Add to Cart,P0425,2024-08-16
016befff-b6de-423c-b6f4-501c8280bde6,996f773f-d4cb-4f80-99f6-758741937979,Cart View,Unknown_Product,2024-06-07
016c5830-1170-4475-9480-b4fb983eed3c,54d0094f-aa23-4ee0-adc6-3314c3405dee,Remove from Cart,P0404,2025-03-29
0172263e-a995-41a1-8cf3-daeb02f09bee,b3a682c3-c195-4319-937f-f9a3620b2bdc,Add to Cart,Unknown_Product,2024-04-26
01748b9b-9b07-4d63-a920-6f782bcd7282,abecb643-72b2-4e93-890b-7fe6d7ee4dfc,Add to Cart,P0141,2025-09-06
0174a572-9a1b-4ff3-8189-c11ea58ee9c4,ac53b0de-41d4-40e6-862e-e8d3dc512482,Add to Cart,P0129,2024-05-06
0174b9d3-0904-4068-9d36-90f859ca7261,aede28a4-2c05-4ea0-865f-86e692ab277e,Add to Cart,P0135,2025-02-02
01750cd4-7a81-4a6a-b17f-ab9487a855f1,538cc947-daad-4731-9103-c73667a69092,Product Click,Unknown_Product,2024-08-06
01765e52-02fa-459b-892e-58e34a77962e,b52dbd74-4283-406f-a2bd-d79f08f4cba0,Remove from Cart,P0411,2023-11-13
0178d340-615f-417c-863c-25283f47556f,8d1276e0-4018-4216-8606-676364a8d2c4,Page View,P0308,2023-09-19
017ae321-af52-4645-a549-1e2a380c56cd,a81f74cf-9330-4e50-8598-9f3f0a0f3599,Product Click,P0363,2024-07-11
017e4fad-dc7a-4b08-b053-63dfa1337bb3,1e30a842-59f9-41b0-9c00-0a25b62c6f44,Remove from Cart,P0254,2025-07-11
0180633e-2661-4649-990a-bba23571080a,1c09f18e-5496-43bb-8e97-74ac4da9c303,Search,P0102,2025-03-06
01812165-92f9-4372-beef-669bf7b76127,8ad127fd-d17b-44e8-a05f-9234cf245353,Page View,P0238,2025-04-18
0184b000-59c9-43db-a7ba-ad72da47ef89,94cab1c1-e974-4ce9-9e80-354a28d7ba6e,Page View,Unknown_Product,2025-05-03
0186c113-90d8-4b80-a5e0-e5a899dbb72f,2063efdf-3bee-4918-92bc-86a057985647,Remove from Cart,Unknown_Product,2024-05-21
01892a0b-2965-4f8f-b5d9-204b0e28ca6a,fb08e108-c270-4188-81a3-f57ee296743b,Add to Cart,P0471,2025-03-31
01897b34-1d46-49a6-b8ca-9dbadb3dcf0c,5eeab24b-2545-4aa3-9cbc-7d88a2e3953d,Product Click,Unknown_Product,2023-09-21
018982ba-8609-4757-b7a3-0958fa017d53,83885428-4834-4d22-96c4-f4b982c44aac,Cart View,Unknown_Product,2024-02-09
0189a4e6-99d5-41b4-b636-1a505109f4af,26a1c202-c41d-49e3-8eea-d2a1c31fdfe9,Cart View,P0325,2024-11-06
0192a93d-32bd-4c61-9708-e48fa754174f,399c5ac4-f276-40ac-9f8f-d1f5a69982ad,Cart View,Unknown_Product,2024-06-11
01938790-866e-4a45-b9f3-06e01e7146e2,b110160b-b1aa-420e-abbd-c3bb9ddfbebe,Product Click,Unknown_Product,2024-06-27
01989bb0-38a2-4de3-b09f-c2c53fde2575,67289f1c-4d42-4e06-b356-6fffe3608766,Remove from Cart,Unknown_Product,2025-08-20
0198bf9c-16de-456f-a83b-baf22087d951,46f45b5b-52d7-427e-9964-14b262ed737a,Cart View,P0431,2024-06-24
019a79d3-1846-457b-a97a-ebfe4d033d03,93885702-d8c5-4f46-ae0f-6ff4d7d73690,Search,P0135,2025-04-19
019b8341-7185-4cfd-8331-c3ac25c59d5f,8235236c-031c-4988-8e9a-7f3ae3aad741,Search,P0239,2025-01-06
019d42e8-0139-424b-954d-ac49e9e4509c,63fd23fd-65df-419a-bc20-81637fbbc476,Add to Cart,Unknown_Product,2024-07-26
019f0468-e4c4-4a98-a316-ea53466a3765,d17599e5-b8a5-4ce3-806b-4099ddbba986,Product Click,Unknown_Product,2024-05-06
01a876b2-fcf5-4769-a845-6fd6b9fa22f5,03063d08-27ec-412c-9b1d-cb68470dbe91,Cart View,Unknown_Product,2024-05-11
01aa7dc2-fcc7-4360-96a8-4c105a528aa2,38680ea9-406a-4872-b7ff-6f8b7da7d39c,Cart View,P0395,2024-12-15
01b70e38-4139-45da-abfa-163a0fb1f782,b3883619-9eda-492b-b864-a60126d7ec67,Page View,P0482,2024-06-07
01b88b5e-428e-44f4-88b8-db23b106c549,d0fae339-91e0-498e-822e-afa944a9707c,Product Click,P0173,2025-06-06
01bae69c-5531-4ad9-978a-62ac23538246,866e3db8-604c-4bcf-8d67-2ca2c9a43393,Add to Cart,P0450,2024-04-14
01bc7b3f-f6fd-4485-8deb-71d669b20ae4,5dd191bd-2888-45a5-b498-bb40dca66155,Cart View,Unknown_Product,2023-10-05
01be5efe-71a9-4667-8684-fda116e479ba,7987808d-2647-4162-b3e4-ce866762de75,Page View,Unknown_Product,2023-12-03
01c233da-e53c-4d73-8627-2f6bc5cf307e,c8a3b66a-1c6d-4112-a944-5684df126408,Remove from Cart,Unknown_Product,2024-12-25
01c23c09-cd8e-4c1b-afce-7be5e7b987c7,6eac99dc-2985-47f5-b85c-aea7d14d2ac3,Add to Cart,Unknown_Product,2024-10-12
01c31869-9f8d-46d3-b378-c5fb8d39deaa,9c199b86-2255-4bfe-97a9-29b6b3e1cdfb,Search,P0323,2025-06-07
01c3fe5b-6cef-408f-871c-c845119d79a5,d2f4e7b4-53ba-471a-b4f5-790da07cfd7c,Cart View,P0110,2024-09-09
01c5420d-27ec-48c1-ae46-cad9e3a36dcf,0190e430-fc55-4b31-99aa-25ebe5f44b2c,Product Click,P0237,2024-05-15
